Model,Baseline Size (KB),Quantized Size (KB),Compression,Baseline F1 (%),Quantized F1 (%),F1 Change (%),Baseline Acc (%),Quantized Acc (%),Acc Change (%)
Mamba_H32L1,41.4287109375,15.6767578125,2.64x,93.37946943483276,92.11132581374795,-1.2681436210848052,94.73684210526315,92.98245614035088,-1.754385964912275
Mamba_H16L1,14.5537109375,8.5517578125,1.70x,69.058229352347,74.02554961378492,4.967320261437913,78.94736842105263,80.7017543859649,1.754385964912275
Mamba_H8L1,7.0537109375,6.4267578125,1.10x,28.089370135405943,28.252344416027285,0.1629742806213419,50.877192982456144,50.877192982456144,0.0
